Timestamp,What is your age?,What pronouns do you use?,What is your nationality or ethnicity?,How often do you use Tik Tok?,What is the first page you visit when you open TikTok?,How much do you use each of these features? [For You page],How much do you use each of these features? [Following page],How much do you use each of these features? [Favorites page],How much do you use each of these features? [Friends Page],How much do you use each of these features? [Discover Page],How much do you use each of these features? [Search bar],How much do you use each of these features? [Like],How much do you use each of these features? [Comment],How much do you use each of these features? [Save],How much do you use each of these features? [Follow],How much do you use each of these features? [Share],How much do you use each of these features? [Not interested ],How much do you use each of these features? [Refresh ],How often do you see content related to your interests in the For You page?,"After using the search bar, what action do you do? [Go to For You Page]","After using the search bar, what action do you do? [Keep scrolling through search results ]","After using the search bar, what action do you do? [Use the search bar again]","After using the search bar, what action do you do? [Other]","After going to the Discover page, what action do you do? [Go to For You Page]","After going to the Discover page, what action do you do? [Stay at Discover Page]","After going to the Discover page, what action do you do? [Other]",How many videos do you watch while checking out an account?,How much content do you watch in the following topics? [Politics],How much content do you watch in the following topics? [Sports],How much content do you watch in the following topics? [Eating Habits],How much content do you watch in the following topics? [Memes],How much content do you watch in the following topics? [Conspiracies],How much content do you watch in the following topics? [Pets],How much content do you watch in the following topics? [Dance],How much content do you watch in the following topics? [Entertainment],How much content do you watch in the following topics? [Food],How much content do you watch in the following topics? [Games],How much content do you watch in the following topics? [Other],Recommend up to 3 political topics of your interest that you have recently watched on Tiktok,"Recommend up to 3 creators or topics that you watch about conspiracies( UFO, Flat Earth, Reptilians, Illuminati, etc)","Recommend up to 3 creators or topics that you watch about eating habits (e.g., balanced meal ideas, cooking tutorials, excessive food consumption, etc.)"
3/7/2024 14:52:42,24,She/her,Uzbek and Dungan,Once everyday,For You,Always,Sometimes,Often,Rarely,Rarely,Often,Always,Rarely,Always,Often,Always,Rarely,Often,Always,Often,Sometimes,Sometimes,Never,Often,Rarely,Rarely,1-5 videos,Sometimes,Often,Sometimes,Often,Rarely,Always,Never,Sometimes,Often,Never,Always,"Israeli–Palestinian conflict, Feminism, QC polititcs",N/A,"@babytamago, @emthenutritionist, @plantedinthekitchen, "
2/23/2024 15:59:31,52,He/him,Brazilian,Once every week,Friends,Sometimes,Often,Always,Often,Sometimes,Sometimes,Often,Never,Often,Sometimes,Never,Never,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,1-5 videos,Sometimes,Sometimes,Rarely,Often,Often,Never,Always,Always,Often,Often,Rarely,"Brazil elections, Argentina elections, Gaza","Bermuda Triangle, UFOs, Ghosts",@comidasaudavei. @magicastiktok @diy.home.tips
2/29/2024 14:36:56,18,She/her,Russian/Ukrainian,Once every week,For You,Always,Rarely,Rarely,Sometimes,Sometimes,Often,Always,Rarely,Sometimes,Rarely,Often,Rarely,Rarely,Often,Often,Often,Often,Rarely,Often,Sometimes,Rarely,1-5 videos,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,,,"@mxriyum, aesthetic baking/cooking videos  "
2/22/2024 21:59:01,19,She/her,"American, Brazilian, Canadian",Once everyday,For You,Always,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,Never,Rarely,Never,Sometimes,Rarely,,Often,Always,Often,Rarely,Never,Always,Never,Never,1-5 videos,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Never,Always,IVF ban/being put at risk in Alabama,,Abbey Sharp
3/7/2024 17:48:11,20,He/him,Canadian,Multiple times a day,Friends,Always,Often,Never,Always,Rarely,Often,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Always,Sometimes,Always,Often,Sometimes,Always,Rarely,Rarely,Upto 10 vidoes,Often,Sometimes,Often,Always,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,"Abortion Debates,  Feminists vs. Anti-Feminisits",,"Abby Sharpe, Justine "
2/29/2024 17:42:56,Zachary Bédard,He/him,Québecois,Never,I do not use TikTok,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never go into accounts,Often,Rarely,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Rarely,Sometimes,Often,"I have not watched any political topics on Tik Tok, I watch them on other apps.",,"Adam Ragusea, Chez fred fromager Urbain, Marco Piere white knor recipes."
2/23/2024 16:39:18,27,She/her,Black canadian/Haitian,Once everyday,For You,Always,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Always,Sometimes,Sometimes,Always,Rarely,,Always,Always,Sometimes,Sometimes,Never,Always,Always,Never,Upto 10 vidoes,Never,Never,Always,Always,Never,Often,Rarely,Often,Always,Rarely,Always,"Congo genocid, Crise du logement in Montreal",I do not watch any content about conspiracies,"Asian food, healthy food"
2/28/2024 20:41:42,18,She/her,white,Once in a while,Following,Sometimes,Often,Rarely,Sometimes,Never,Often,Rarely,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1-5 videos,Rarely,Often,Sometimes,Often,Rarely,Often,Often,Often,Rarely,Never,Never,"france bardella, trump biden, gipsy rose",no,baby food
2/29/2024 21:19:41,19,She/her,Latina,Multiple times a day,Friends,Often,Rarely,Rarely,Often,Sometimes,Often,Often,Often,Often,Often,Often,Rarely,Rarely,Often,Rarely,Often,Sometimes,Never,Often,Sometimes,Often,Upto 10 vidoes,Rarely,Rarely,Often,Always,Sometimes,Sometimes,Sometimes,Always,Often,Sometimes,Sometimes,I barely have political topics on my for you page,"Star Wars conspiracies, Dark theories in tv shows and movies like gravity falls, Area 51 ","Caloric deficit meals, sugar intake, cheap recipes "
2/23/2024 16:37:13,22,She/her,Haïtienne,Multiple times a day,For You,Often,Often,Rarely,Rarely,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,,Often,Often,Sometimes,Rarely,Never,Often,Never,Never,1-5 videos,Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Often,Rarely,Rarely,"Récession, Palestine and Israël war",I dont Really watch that,"Calorie déficit, cooking tutorials, meal ideas "
